img_id,img_filename,y,split,place,place_filename,img_folder,img_name
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,0,1,/l/lake/natural/00000065.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0009_34.jpg
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,0,1,/o/ocean/00001268.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0074_59.jpg
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,0,1,/o/ocean/00003147.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0014_89.jpg
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,0,1,/o/ocean/00003917.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0031_100.jpg
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,0,1,/l/lake/natural/00000560.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0010_796097.jpg
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,0,1,/o/ocean/00001721.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0023_796059.jpg
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,0,1,/o/ocean/00002053.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0040_796066.jpg
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,0,1,/o/ocean/00003211.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0089_796069.jpg
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,0,1,/o/ocean/00002572.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0067_170.jpg
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,0,1,/o/ocean/00003685.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0060_796076.jpg
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,0,1,/l/lake/natural/00002406.jpg,001.Black_footed_Albatross,Black_Footed_Albatross_0056_796078.jpg
